> **📎 RAG LPパラメーター（有料）.xlsx** (xlsx)
>
> [シート: Sheet 1]
> ,期間　2024/2/1-2/29,Lp Parameter,総受,割合,面談,URL,
> ,ディスプレイ,,"1,028.00",2%,160.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=,
> ,,s-all-early,606.00,1%,91.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-early,
> ,,dis-gen-1048,431.00,1%,52.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1048,
> ,,dis-gen-1006,422.00,1%,43.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1006,
> ,,dis-gen-1002,410.00,1%,53.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1002,
> ,,dis-gen-1047,387.00,1%,62.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1047,
> ,,s-all-fast,315.00,1%,68.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-fast,
> ,,s-all-lifestyle02,156.00,0%,14.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-lifestyle02,
> ,,s-all-lifestyle01,136.00,0%,24.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-lifestyle01,
> ,,dis-gen-1029,117.00,0%,16.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1029,
> ,,dis-gen-1032,99.00,0%,18.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1032,
> ,,s-f-1013_i,96.00,0%,17.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-f-1013_i,
> ,,dis-gen-1031,96.00,0%,13.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1031,
> ,,dis-gen-1028,94.00,0%,17.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1028,
> ,,dis-gen-1014,88.00,0%,15.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1014,
> ,,dis-gen-1030,87.00,0%,16.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1030,
> ,,dis-gen-1043,80.00,0%,15.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1043,
> ,,dis-gen-1040,79.00,0%,15.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1040,
> ,,dis-gen-1061,78.00,0%,6.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1061,
> ,,dis-gen-1016,70.00,0%,10.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1016,
> ,,dis-gen-1039,69.00,0%,11.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1039,
> ,,dis-gen-1060,65.00,0%,10.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1060,
> ,,dis-gen-1057,64.00,0%,6.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1057,
> ,,dis-gen-1020,62.00,0%,13.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1020,
> ,,dis-gen-1022,58.00,0%,7.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1022,
> ,,dis-gen-1036,56.00,0%,7.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1036,
> ,,dis-gen-1033,51.00,0%,10.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1033,
> ,,dis-gen-1034,43.00,0%,11.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1034,
> ,,s-m-1010_tx,40.00,0%,4.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-m-1010_tx,
> ,,dis-gen-1007,36.00,0%,7.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1007,
> ,,dis-gen-1062,32.00,0%,5.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1062,
> ,,dis-gen-1010,32.00,0%,8.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1010,
> ,,dis-gen-1056,29.00,0%,4.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1056,
> ,,dis-all-1002,28.00,0%,13.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-all-1002,
> ,,dis-sec-1002,24.00,0%,3.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1002,
> ,,dis-gen-1059,24.00,0%,2.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1059,
> ,,dis-sec-1001,19.00,0%,2.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1001,
> ,,s-all-proc,12.00,0%,3.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-proc,
> ,,dis-sec-1015,11.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1015,
> ,,dis-gen-,11.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-,
> ,,s-all-challenge01,10.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-challenge01,
> ,,dis-sec-1003,6.00,0%,2.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1003,
> ,,dis-sec-1007,5.00,0%,2.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1007,
> ,,dis-sec-1009,3.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1009,
> ,,s-all-lifestyle03,2.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=s-all-lifestyle03,
> ,,f-company-,2.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=f-company-,
> ,,dis-sec-1011,2.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-sec-1011,
> ,,f-company-mechanical-1003,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=f-company-mechanical-1003,
> ,,f-company-1012,1.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=f-company-1012,
> ,,dt-area-1018,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dt-area-1018,
> ,,dis-wlbm-1034,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-wlbm-1034,
> ,,dis-wlbf-1016,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-wlbf-1016,
> ,,dis-gen-1005,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1005,
> ,,dis-gen-1003,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dis-gen-1003,
> ,,c-gogaku-1004,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-gogaku-1004,
> ,,c-common-1051,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-common-1051,
> ,,c-common-,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-common-,
> ,,b-big-agent-,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-agent-,
> ,,a-brand-1009,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1009,
> ,アフィリエイト,078,"13,444.00",25%,"3,737.00",https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=078,
> ,,af-gene-1002,"1,451.00",3%,264.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-gene-1002,
> ,,20d,869.00,2%,215.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=20d,
> ,,40b,644.00,1%,156.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=40b,
> ,,af-20m-1002,508.00,1%,139.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-20m-1002,
> ,,af-mechanical-1001,310.00,1%,136.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-mechanical-1001,
> ,,30b,272.00,1%,80.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=30b,
> ,,c-40dai-1002,219.00,0%,56.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-40dai-1002,
> ,,af-30m-1002,169.00,0%,43.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-30m-1002,
> ,,e-industry-a-1004,164.00,0%,51.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-industry-a-1004,
> ,,e-mechanical-1017,139.00,0%,44.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-mechanical-1017,
> ,,age-40,119.00,0%,55.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=age-40,
> ,,e-fudosan-1010,117.00,0%,37.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-fudosan-1010,
> ,,e-backoffice-1001,103.00,0%,26.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-backoffice-1001,
> ,,af-30m-1001,96.00,0%,28.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-30m-1001,
> ,,30c,81.00,0%,19.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=30c,
> ,,af-it-1001,77.00,0%,34.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-it-1001,
> ,,af-40m-1002,77.00,0%,16.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-40m-1002,
> ,,af-30w-1002,74.00,0%,20.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-30w-1002,
> ,,040,67.00,0%,20.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=040,
> ,,40c,58.00,0%,12.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=40c,
> ,,wob,57.00,0%,18.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=wob,
> ,,af-30w-1001,47.00,0%,9.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-30w-1001,
> ,,age-20,40.00,0%,19.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=age-20,
> ,,wo,29.00,0%,6.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=wo,
> ,,af-it-1002,17.00,0%,7.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=af-it-1002,
> ,,30,17.00,0%,7.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=30,
> ,,age-30,16.00,0%,8.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=age-30,
> ,,a-it-web-1001,15.00,0%,6.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-it-web-1001,
> ,,a-brand-1004,7.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1004,
> ,,043,6.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=043,
> ,,,4.00,0%,2.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=,
> ,,a-brand-1055,1.00,0%,1.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1055,
> ,,021,1.00,0%,0.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=021,
> 総計,合計,合計,"52,918.00",100%,"12,454.00",https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=合計,
